0,0
767,2042
768,2044
769,2049
770,2059
771,2061
772,2038
773,2043
774,2047
775,2044
776,2065
777,2022
778,2006
779,1999
780,1997
781,1988
782,1987
783,1984
784,1979
785,1976
786,1974
787,1969
788,1966
789,1964
790,1965
791,1964
792,1962
793,1958
794,1954
795,1950
796,1950
797,1950
798,1949
799,2153
800,2157
801,2159
802,2159
803,2162
804,2163
805,2164
806,2167
807,2168
808,2170
809,2172
810,2177
811,2180
812,2183
813,2185
814,2187
815,2187
816,2189
817,2189
818,2190
819,2196
820,2197
821,2198
822,2199
823,2199
824,2204
825,2205
826,2206
827,2205
828,2209
829,2208
830,2211
831,2212
832,2215
833,2217
834,2217
835,2219
836,2221
837,2222
838,2224
839,2225
840,2226
841,2226
842,1884
843,2229
844,2230
845,2229
846,2231
847,2231
848,2232
849,2233
850,2234
851,1873
852,2237
853,2238
854,1869
855,1868
856,1868
857,2242
858,2243
859,2244
860,1864
861,1863
862,1860
863,1859
864,1858
865,1857
866,1854
867,1851
868,1850
869,1850
870,1850
871,1848
872,1846
873,1844
874,1844
875,1842
876,1841
877,1840
878,1841
879,1840
880,1839
881,1838
882,1837
883,1834
884,1835
885,1834
886,1831
887,1830
888,1828
889,1828
890,1827
891,1825
892,1824
893,1822
894,1822
895,1821
896,1820
897,1819
898,1819
899,1818
900,1816
901,1816
902,1812
903,1813
904,1812
905,1811
906,1810
907,1808
908,1807
909,1806
910,1806
911,1806
912,1803
913,1802
914,1802
915,1801
916,1800
917,1799
918,1798
919,1797
920,1796
921,1796
922,2310
923,2311
924,2312
925,2314
926,2314
927,2316
928,2316
929,2317
930,2319
931,2320
932,2320
933,2322
934,2322
935,2323
936,2324
937,2326
938,2327
939,2328
940,2329
941,2330
942,2330
943,2329
944,2330
945,2334
946,2334
947,2335
948,2335
949,2336
950,2337
951,2338
952,2339
953,2339
954,2340
955,2340
956,2343
957,2342
958,2341
959,2344
960,2345
961,2345
962,2346
963,2347
964,2348
965,2347
966,2347
967,2348
968,2347
