Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct)	xz (correct)
11837	-0.32710E-03	 0.10305E-03	2.2377E-07	-0.44779E-03	-1.3584E-06	-3.1895E-06
11837	-0.20538E-03	 0.64598E-04	3.3068E-07	-0.28120E-03	-1.3368E-06	-3.1389E-06
11838	-0.32940E-03	 0.10385E-03	2.1238E-07	-0.45060E-03	-7.2307E-07	-1.6973E-06
11838	-0.32342E-03	 0.10201E-03	2.0136E-07	-0.44225E-03	-7.1958E-07	-1.6891E-06
11839	-0.38073E-03	 0.12135E-03	-2.2479E-07	-0.51564E-03	-3.5114E-07	-8.2931E-07
11839	-0.35839E-03	 0.11408E-03	-1.861E-07	-0.48606E-03	-3.3911E-07	-8.0076E-07
11840	-0.45979E-03	 0.14841E-03	-4.2913E-07	-0.61407E-03	-8.1016E-08	-1.922E-07
11840	-0.28442E-03	 0.91594E-04	-1.1172E-07	-0.38049E-03	-1.1633E-07	-2.7771E-07
11841	 0.69201E-05	-0.19554E-05	-2.5471E-07	 0.99555E-05	1.2018E-07	2.8945E-07
11841	-0.58848E-03	 0.19036E-03	3.5902E-07	-0.78167E-03	7.0197E-08	1.6874E-07
11842	 0.11359E-02	-0.35781E-03	-1.0649E-06	 0.15546E-02	2.7333E-07	6.4456E-07
11842	-0.13735E-02	 0.43499E-03	-4.9282E-08	-0.18715E-02	2.7492E-07	6.4774E-07
11843	 0.18541E-02	-0.56629E-03	-1.5716E-06	 0.26216E-02	3.2242E-07	7.3809E-07
11843	-0.18558E-02	 0.56806E-03	-9.4175E-07	-0.26244E-02	2.733E-07	6.3023E-07
11844	 0.18693E-02	-0.55001E-03	-1.8269E-06	 0.27399E-02	1.4595E-07	3.2513E-07
11844	-0.18434E-02	 0.54347E-03	-7.663E-07	-0.27032E-02	1.1918E-07	2.6798E-07
11845	 0.17443E-02	-0.50258E-03	-1.5024E-06	 0.26059E-02	-1.5147E-07	-3.3135E-07
11845	-0.17176E-02	 0.49590E-03	-9.7337E-07	-0.25672E-02	-6.1322E-09	-1.11E-08
11846	 0.16300E-02	-0.46623E-03	-1.4235E-06	 0.24506E-02	-4.6703E-07	-1.0129E-06
11846	-0.16034E-02	 0.45971E-03	-0.000001249	-0.24118E-02	-1.2556E-07	-2.7306E-07
11847	 0.15133E-02	-0.42716E-03	-8.3194E-07	 0.23016E-02	-8.0935E-07	-1.7319E-06
11847	-0.14871E-02	 0.42076E-03	-1.5685E-06	-0.22630E-02	-2.102E-07	-4.5687E-07
11848	 0.13868E-02	-0.37746E-03	-2.5072E-07	 0.21722E-02	-1.1124E-06	-2.3214E-06
11848	-0.13607E-02	 0.37113E-03	-1.6224E-06	-0.21322E-02	-3.2128E-07	-6.8183E-07
11849	 0.12533E-02	-0.32029E-03	7.0548E-07	 0.20551E-02	-1.3022E-06	-2.6187E-06
11849	-0.12275E-02	 0.31423E-03	-2.0034E-06	-0.20135E-02	-5.2456E-07	-1.0708E-06
11850	 0.11210E-02	-0.26304E-03	1.6703E-06	 0.19384E-02	-1.3498E-06	-2.6019E-06
11850	-0.10957E-02	 0.25752E-03	-0.000002609	-0.18953E-02	-8.3603E-07	-1.6348E-06
11851	 0.99657E-03	-0.21223E-03	2.7763E-06	 0.18140E-02	-1.2246E-06	-2.2703E-06
11851	-0.97197E-03	 0.20710E-03	-2.9707E-06	-0.17693E-02	-1.2785E-06	-2.3977E-06
11852	 0.88353E-03	-0.17121E-03	3.7115E-06	 0.16779E-02	-9.296E-07	-1.6708E-06
11852	-0.85943E-03	 0.16656E-03	-3.6142E-06	-0.16321E-02	-1.8491E-06	-0.000003352
11853	 0.78145E-03	-0.14032E-03	4.6208E-06	 0.15299E-02	-5.1363E-07	-9.0458E-07
11853	-0.75784E-03	 0.13598E-03	-0.000004209	-0.14835E-02	-2.5027E-06	-4.4302E-06
11854	 0.68819E-03	-0.11763E-03	5.6089E-06	 0.13732E-02	-8.6809E-09	-2.0074E-08
11854	-0.66493E-03	 0.11344E-03	-4.8492E-06	-0.13264E-02	-3.2071E-06	-5.5934E-06
11855	 0.60062E-03	-0.10006E-03	6.4088E-06	 0.12115E-02	5.7285E-07	9.7729E-07
11855	-0.57769E-03	 0.95967E-04	-5.4259E-06	-0.11648E-02	-3.9389E-06	-6.8121E-06
11856	 0.51576E-03	-0.85006E-04	7.2975E-06	 0.10474E-02	1.2204E-06	2.0798E-06
11856	-0.49323E-03	 0.80854E-04	-5.7893E-06	-0.10009E-02	-4.6656E-06	-0.000008028
11857	 0.43189E-03	-0.70795E-04	8.1301E-06	 0.88271E-03	1.9275E-06	3.2781E-06
11857	-0.40984E-03	 0.66577E-04	-6.0783E-06	-0.83656E-03	-5.3538E-06	-9.1737E-06
11858	 0.34854E-03	-0.56966E-04	8.9293E-06	 0.71780E-03	2.6902E-06	4.5636E-06
11858	-0.32709E-03	 0.52679E-04	-6.2518E-06	-0.67221E-03	-5.9725E-06	-0.00001019
11859	 0.26596E-03	-0.43692E-04	9.6759E-06	 0.55271E-03	3.5003E-06	5.9235E-06
11859	-0.24510E-03	 0.39309E-04	-6.3044E-06	-0.50764E-03	-6.4909E-06	-0.000011031
11860	 0.18445E-03	-0.31253E-04	0.000010309	 0.38708E-03	4.3391E-06	7.3405E-06
11860	-0.16414E-03	 0.26753E-04	-0.000006285	-0.34256E-03	-6.8736E-06	-0.00001166
11861	 0.10373E-03	-0.19437E-04	0.000010802	 0.22089E-03	5.1787E-06	8.7882E-06
11861	-0.83969E-04	 0.14755E-04	-6.0999E-06	-0.17710E-03	-0.000007076	-0.000012027
