Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct)	xz (correct)
11651	5.5199E-10	 0.53394E-09	-1.6878E-09	 0.47311E-11	-7.0002E-11	-5.4297E-10
11651	5.6157E-10	 0.54823E-09	-1.7279E-09	 0.34961E-11	-4.4394E-11	-3.4434E-10
11652	3.5735E-09	 0.33227E-08	-1.0639E-08	-0.67817E-10	6.2125E-10	-4.6781E-09
11652	3.5796E-09	 0.33363E-08	-1.0674E-08	-0.65764E-10	4.2255E-10	-3.1816E-09
11653	4.7283E-10	 0.42874E-09	-1.3843E-09	 0.11763E-10	-1.2458E-10	-9.5206E-10
11653	4.785E-10	 0.44342E-09	-1.4214E-09	 0.93573E-10	-9.6813E-11	-7.3909E-10
11654	4.5303E-10	 0.33434E-09	-1.1621E-09	 0.32164E-10	-2.2676E-10	-1.7065E-09
11654	4.4932E-10	 0.35148E-09	-1.1952E-09	 0.26515E-10	-1.9678E-10	-1.4805E-09
11655	4.8175E-10	 0.24800E-09	-1.0047E-09	 0.63737E-10	-3.1458E-10	-2.3499E-09
11655	4.6543E-10	 0.26901E-09	-1.0338E-09	 0.53557E-10	-2.8419E-10	-2.1228E-09
11656	5.5079E-10	 0.16790E-09	-9.0031E-10	 0.10350E-09	-3.8613E-10	-2.9055E-09
11656	5.2126E-10	 0.19261E-09	-9.2447E-10	 0.88829E-10	-3.548E-10	-2.6699E-09
11657	6.5006E-10	 0.92992E-10	-8.3706E-10	 0.14785E-09	-4.4169E-10	-3.3825E-09
11657	6.1379E-10	 0.11785E-09	-8.5488E-10	 0.13160E-09	-4.0953E-10	-3.1363E-09
11658	7.7476E-10	 0.21629E-10	-8.0644E-10	 0.19739E-09	-4.8768E-10	-3.7831E-09
11658	7.4421E-10	 0.40412E-10	-8.168E-10	 0.18445E-09	-4.5459E-10	-3.5265E-09
11659	1.8529E-09	-0.47304E-09	-8.0124E-10	 0.61515E-09	-5.8156E-10	-4.4898E-09
11659	1.9772E-09	-0.52793E-09	-8.0518E-10	 0.66274E-09	-5.4769E-10	-4.2282E-09
11660	1.1563E-08	-0.48961E-08	-8.1157E-10	 0.44438E-08	-1.0978E-09	-8.3075E-09
11660	1.1887E-08	-0.50435E-08	-8.1346E-10	 0.45705E-08	-1.0666E-09	-8.0702E-09
11661	3.1595E-08	-0.13890E-07	-1.1116E-09	 0.12340E-07	-2.0474E-09	-1.5369E-08
11661	3.177E-08	-0.13969E-07	-1.1124E-09	 0.12409E-07	-2.0202E-09	-1.5165E-08
