Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct)	xz (correct) 
11681	1.4215E-06	-9.6658E-07	6.8601E-07	6.6141E-07	3.824E-07	2.8224E-06
11682	1.0303E-06	-1.3951E-06	1.9944E-06	7.0116E-07	-1.3837E-06	-9.7543E-06
11682	1.6515E-06	-1.1008E-06	7.5467E-07	7.9733E-07	3.4959E-07	2.4718E-06
11683	7.5291E-07	-1.3122E-06	2.0912E-06	6.2332E-07	-1.4451E-06	-9.7867E-06
11683	1.7841E-06	-1.1903E-06	8.235E-07	8.9784E-07	2.9615E-07	2.0128E-06
11684	5.5814E-07	-1.2484E-06	2.1462E-06	5.6041E-07	-1.4732E-06	-9.7306E-06
11684	1.8449E-06	-1.2505E-06	8.9787E-07	9.5894E-07	2.2315E-07	1.4805E-06
11685	4.0248E-07	-1.1872E-06	2.1666E-06	4.9788E-07	-1.4641E-06	-0.000009591
11685	1.8709E-06	-1.3032E-06	9.8753E-07	9.9186E-07	1.3731E-07	9.0509E-07
11686	2.4407E-07	-1.1112E-06	2.1567E-06	4.2258E-07	-1.4234E-06	-0.000009371
11686	0.000001897	-1.3684E-06	1.1017E-06	1.0149E-06	4.3889E-08	2.9291E-07
11687	5.5725E-08	-1.0061E-06	0.000002113	3.2828E-07	-1.3657E-06	-9.0706E-06
11687	1.9437E-06	-1.4594E-06	1.2507E-06	1.0479E-06	-5.661E-08	-3.7221E-07
11688	-1.5924E-07	-8.7061E-07	2.0305E-06	2.1975E-07	-1.3066E-06	-8.6928E-06
11688	2.0053E-06	-1.5737E-06	1.4367E-06	1.1003E-06	-1.6664E-07	-1.1034E-06
11689	-3.8191E-07	-7.1012E-07	1.9018E-06	1.0255E-07	-1.2471E-06	-8.2406E-06
11689	0.000002064	-1.7042E-06	1.6618E-06	1.1669E-06	-2.8882E-07	-1.9021E-06
11690	-6.0372E-07	-5.2615E-07	1.7214E-06	-2.3173E-08	-1.1752E-06	-7.7092E-06
11690	2.1132E-06	-1.8494E-06	1.9285E-06	1.2366E-06	-4.2257E-07	-2.7658E-06
11691	-8.3267E-07	-3.1299E-07	1.4849E-06	-1.6123E-07	-1.0826E-06	-7.0919E-06
11691	2.1604E-06	-2.0164E-06	2.2428E-06	1.3055E-06	-5.6445E-07	-3.6912E-06
11692	-1.0797E-06	-6.2687E-08	0.000001186	-3.1607E-07	-9.7206E-07	-6.3815E-06
11692	2.2157E-06	-2.2115E-06	0.000002609	1.3811E-06	-7.1485E-07	-0.000004684
11693	-1.3477E-06	2.2868E-07	8.1907E-07	-4.907E-07	-8.4869E-07	-5.5739E-06
11693	2.2812E-06	-2.4369E-06	3.0307E-06	0.000001472	-8.7784E-07	-5.7524E-06
11694	-1.6338E-06	5.6227E-07	3.782E-07	-6.8671E-07	-7.1218E-07	-4.6626E-06
11694	2.3537E-06	-2.6935E-06	3.5142E-06	1.5806E-06	-1.0572E-06	-6.9037E-06
11695	-1.9358E-06	9.3948E-07	-1.4187E-07	-9.0583E-07	-5.5897E-07	-3.6372E-06
11695	2.4292E-06	-2.9842E-06	4.0692E-06	1.7072E-06	-1.2544E-06	-8.1387E-06
11696	-2.2577E-06	1.3625E-06	-7.4179E-07	-1.1476E-06	-3.8312E-07	-0.00000248
11696	2.5085E-06	-3.3131E-06	4.7028E-06	1.8472E-06	-1.4653E-06	-0.000009455
11697	-2.6076E-06	1.8406E-06	-1.4323E-06	-1.4114E-06	-1.8109E-07	-1.1733E-06
11697	2.5994E-06	-3.6874E-06	5.4216E-06	1.9965E-06	-1.6827E-06	-0.000010851
11698	-2.9949E-06	2.3851E-06	-2.2279E-06	-1.6982E-06	4.6805E-08	2.9975E-07
11698	2.7124E-06	-4.1124E-06	0.000006226	2.1562E-06	-1.9033E-06	-0.000012337
11699	-3.4262E-06	0.000003008	-3.1472E-06	-2.0089E-06	2.9816E-07	1.9504E-06
