Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct) 	xz (correct) 
11680	1.4641E-06	-2.5313E-08	-1.3805E-06	3.9943E-07	9.3599E-07	7.1088E-06
11681	0.000004582	-3.9759E-06	4.0596E-06	0.000002367	-2.3899E-06	-0.000017586
11681	1.9326E-06	-8.8939E-08	-1.7003E-06	5.6017E-07	1.0079E-06	7.4234E-06
11682	0.000004177	-4.0544E-06	4.6413E-06	2.3841E-06	-2.6297E-06	-0.000018517
11682	2.2813E-06	-6.5159E-08	-2.0882E-06	6.7963E-07	1.0721E-06	7.5574E-06
11683	3.9709E-06	-4.2004E-06	5.1732E-06	2.4696E-06	-2.8631E-06	-0.000019366
11683	2.4832E-06	6.7696E-08	-2.5666E-06	7.2836E-07	1.1177E-06	0.000007567
11684	3.9232E-06	-4.3948E-06	5.6492E-06	2.5819E-06	-3.0536E-06	-0.000020142
11684	2.5776E-06	2.7896E-07	-3.1107E-06	7.1094E-07	1.1357E-06	7.4949E-06
11685	3.9504E-06	-4.6161E-06	6.1037E-06	2.6829E-06	-3.1891E-06	-0.000020861
11685	2.6281E-06	5.2765E-07	-3.6946E-06	6.5496E-07	1.1287E-06	7.3831E-06
11686	0.000003965	-4.8396E-06	6.5687E-06	2.7432E-06	-3.2747E-06	-0.000021527
11686	2.6965E-06	7.6818E-07	-0.00000428	5.9772E-07	1.1022E-06	7.2415E-06
11687	3.9088E-06	-5.0452E-06	7.0621E-06	2.7645E-06	-3.3386E-06	-0.000022136
11687	2.8207E-06	9.6681E-07	-4.8298E-06	5.691E-07	1.0637E-06	7.0458E-06
11688	3.7943E-06	-5.2305E-06	7.5721E-06	2.7821E-06	-3.4169E-06	-0.000022686
11688	2.9878E-06	1.1315E-06	-5.3474E-06	5.6897E-07	1.0224E-06	0.000006779
11689	0.000003679	-5.4048E-06	8.0633E-06	2.8211E-06	-0.000003516	-0.000023177
11689	3.1597E-06	0.000001294	-5.8643E-06	5.7603E-07	9.7937E-07	6.4438E-06
11690	0.000003599	-5.5726E-06	8.5066E-06	0.000002871	-3.6089E-06	-0.000023611
11690	3.3189E-06	1.4688E-06	-0.000006395	5.7547E-07	9.2694E-07	6.0469E-06
11691	3.5387E-06	-5.7342E-06	8.9142E-06	2.9079E-06	-3.6725E-06	-0.000023986
11691	3.4753E-06	1.6429E-06	-6.9221E-06	5.7073E-07	8.6033E-07	5.5954E-06
11692	3.4641E-06	-5.8831E-06	9.3068E-06	2.9262E-06	-3.7144E-06	-0.000024299
11692	3.6456E-06	0.000001795	-7.4159E-06	5.7534E-07	7.8161E-07	5.0839E-06
11693	3.3691E-06	-6.0135E-06	9.6804E-06	2.9379E-06	-0.000003753	-0.000024545
11693	3.8332E-06	0.000001922	-7.8722E-06	5.944E-07	6.9421E-07	4.5053E-06
11694	3.2742E-06	-6.1247E-06	0.000010014	2.9547E-06	-3.7945E-06	-0.000024722
11694	4.0272E-06	2.0342E-06	-8.3023E-06	6.2253E-07	5.9809E-07	3.8549E-06
11695	3.2056E-06	-6.2178E-06	0.000010285	2.9837E-06	-3.8366E-06	-0.000024822
11695	4.2146E-06	0.000002144	-8.7203E-06	6.5168E-07	4.9255E-07	3.1371E-06
11696	3.1767E-06	-6.2898E-06	0.000010472	3.0165E-06	-3.8624E-06	-0.000024836
11696	4.3941E-06	2.2545E-06	-9.1325E-06	6.7785E-07	3.7638E-07	2.3606E-06
11697	0.000003167	-6.3383E-06	0.000010586	3.0323E-06	-3.8542E-06	-0.000024753
11697	4.5775E-06	2.3496E-06	-9.5156E-06	7.0682E-07	2.5004E-07	0.000001535
11698	3.1349E-06	-6.3549E-06	0.000010651	3.0126E-06	-3.8073E-06	-0.000024563
11698	4.7886E-06	2.4016E-06	-9.8334E-06	7.5384E-07	1.1385E-07	6.5206E-07
11699	3.0332E-06	-6.3283E-06	0.000010687	2.9407E-06	-3.7222E-06	-0.000024256
11699	5.0563E-06	2.3802E-06	-0.000010049	8.3637E-07	-3.3937E-08	-3.1443E-07
11700	2.8274E-06	-6.2518E-06	0.000010717	2.8191E-06	-3.6164E-06	-0.000023828
11700	5.3932E-06	2.2632E-06	-0.000010127	9.6738E-07	-1.9806E-07	-0.000001408
11701	0.000002535	-6.1201E-06	0.000010716	2.6729E-06	-3.5162E-06	-0.000023284
11701	5.7891E-06	0.000002061	-0.000010078	1.1467E-06	-3.8544E-07	-2.6659E-06
11702	2.2116E-06	-5.9303E-06	0.000010623	2.5222E-06	-3.4244E-06	-0.000022607
11702	6.2229E-06	1.8017E-06	-9.9407E-06	0.000001365	-6.0711E-07	-4.1301E-06
11703	1.9137E-06	-5.6826E-06	0.000010383	2.3762E-06	-3.3276E-06	-0.000021769
11703	6.6718E-06	1.5117E-06	-9.7504E-06	1.6092E-06	-8.6844E-07	-0.000005807
11704	0.000001675	-5.3786E-06	9.9648E-06	2.2329E-06	-3.2063E-06	-0.000020745
11704	7.1176E-06	1.2056E-06	-0.000009521	1.8659E-06	-1.1647E-06	-7.6653E-06
11705	1.4809E-06	-0.000005011	9.3636E-06	2.0695E-06	-3.0328E-06	-0.000019497
11705	0.000007574	8.6802E-07	-9.2347E-06	2.1309E-06	-0.000001484	-9.6797E-06
11706	1.2597E-06	-4.5633E-06	8.6125E-06	0.000001851	-2.7886E-06	-0.000017981
11706	8.0863E-06	4.4998E-07	-0.000008833	2.4187E-06	-1.8158E-06	-0.00001186
11707	9.262E-07	-4.0116E-06	7.7446E-06	1.5536E-06	-2.4815E-06	-0.000016168
11707	0.000008706	-1.014E-07	-8.2522E-06	2.7591E-06	-2.1621E-06	-0.000014248
11708	4.3288E-07	-3.3346E-06	6.7635E-06	0.000001173	-2.1311E-06	-0.00001404
11708	9.4649E-06	-8.1374E-07	-7.4617E-06	0.000003183	-2.5424E-06	-0.000016917
11709	-2.1139E-07	-2.5198E-06	5.6346E-06	7.1642E-07	-1.7476E-06	-0.000011577
11709	0.000010365	-1.6835E-06	-6.4678E-06	3.7107E-06	-2.9858E-06	-0.00001995
11710	-9.7484E-07	-1.5582E-06	4.3067E-06	1.8483E-07	-1.3189E-06	-0.000008743
11710	0.000011401	-2.6987E-06	-5.2901E-06	4.3402E-06	-3.5068E-06	-0.000023415
11711	-1.8513E-06	-4.3974E-07	2.7509E-06	-4.2998E-07	-8.2719E-07	-5.4825E-06
11711	0.000012579	-3.8649E-06	-3.9249E-06	5.0674E-06	-4.1079E-06	-0.000027371
11712	-2.8529E-06	8.5384E-07	9.3936E-07	-1.1402E-06	-2.6097E-07	-1.7345E-06
11712	0.000013923	-5.1967E-06	-2.3624E-06	5.9056E-06	-4.7982E-06	-0.000031871
11713	-3.9968E-06	2.3379E-06	-1.1454E-06	-1.9621E-06	3.9338E-07	2.5723E-06
11713	0.000015459	-6.7069E-06	-5.9871E-07	0.00000688	-5.5962E-06	-0.000036972
11714	-5.2938E-06	4.0242E-06	-3.5207E-06	-2.9171E-06	0.000001157	0.000007523
11714	0.000017206	-8.4044E-06	1.3707E-06	8.0266E-06	-6.5314E-06	-0.00004273
11715	-0.000006772	5.9282E-06	-6.1933E-06	-4.0218E-06	2.0516E-06	0.000013218
11715	0.000019194	-0.000010313	0.000003567	9.3511E-06	-7.6046E-06	-0.000049205
11716	-8.5522E-06	8.1035E-06	-9.1521E-06	-5.2812E-06	3.0695E-06	0.000019772
11716	0.000021547	-0.000012498	5.9906E-06	0.000010803	-8.7429E-06	-0.000056474
11717	-0.000010835	0.000010652	-0.00001241	-6.7185E-06	4.1828E-06	0.000027319
11717	0.000024499	-0.000015039	8.5689E-06	0.000012373	-9.8851E-06	-0.00006468
11718	-0.000013719	0.000013694	-0.000016144	-8.4822E-06	5.4477E-06	0.000035969
11718	0.000028233	-0.00001798	0.000011248	0.000014304	-0.000011191	-0.000073997
11719	-0.000017164	0.000017123	-0.000020211	-0.000010812	7.0494E-06	0.000045772
