Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct) 	xz (correct)
11681	-2.6413E-06	1.6343E-06	-9.2712E-07	-1.1831E-06	3.7781E-08	2.7404E-07
11681	-4.7151E-08	-1.4924E-06	3.2535E-06	3.9997E-07	-1.7339E-07	-1.2736E-06
11682	-2.9864E-06	1.9845E-06	-1.3517E-06	-1.4397E-06	1.5575E-07	1.0931E-06
11682	4.5996E-08	-1.8047E-06	3.8372E-06	5.3604E-07	-2.9382E-07	-2.0672E-06
11683	-3.3601E-06	2.3607E-06	-1.8071E-06	-1.7271E-06	2.9808E-07	2.0147E-06
11683	1.3088E-07	-2.1637E-06	4.5309E-06	6.9277E-07	-4.3616E-07	-2.9508E-06
11684	-3.7641E-06	2.7645E-06	-2.2912E-06	-2.0225E-06	4.6324E-07	3.0573E-06
11684	2.0837E-07	-2.5624E-06	5.3176E-06	8.5849E-07	-5.9133E-07	-3.9042E-06
11685	-4.1805E-06	3.2011E-06	-2.8295E-06	-2.3058E-06	6.459E-07	0.000004232
11685	2.7055E-07	-2.9941E-06	6.1884E-06	0.00000102	-7.5012E-07	-4.9151E-06
11686	-4.5835E-06	3.6729E-06	-3.4516E-06	-2.5645E-06	8.404E-07	0.00000554
11686	3.0704E-07	-3.4428E-06	7.1186E-06	1.1649E-06	-9.0777E-07	-5.9837E-06
11687	-4.9548E-06	4.1834E-06	-4.1856E-06	-2.8119E-06	0.000001048	6.9721E-06
11687	3.1055E-07	-3.8943E-06	8.0859E-06	1.2939E-06	-1.0695E-06	-7.1158E-06
11688	-5.3037E-06	4.7331E-06	-0.000005029	-3.0831E-06	1.2779E-06	0.000008516
11688	2.8755E-07	-4.3545E-06	9.0992E-06	1.4257E-06	-1.2484E-06	-8.3212E-06
11689	-5.6655E-06	5.3258E-06	-5.9572E-06	-3.4004E-06	1.5359E-06	0.000010167
11689	2.5326E-07	-4.8499E-06	0.000010201	1.5783E-06	-1.4508E-06	-0.000009607
11690	-6.0692E-06	5.9656E-06	-6.9471E-06	-3.7512E-06	1.8157E-06	0.000011936
11690	2.1846E-07	-5.3966E-06	0.000011415	1.7497E-06	-1.6689E-06	-0.000010976
11691	-6.5121E-06	6.6651E-06	-0.000008024	-4.1125E-06	2.1073E-06	0.000013839
